reportingNode,reportTs,eventTs,eventType,hMcc,hMnc,hashedImsi,vMcc,vMnc,rat,cellName,gsmLac,gsmCid,umtsLac,umtsSac,umtsRncId,umtsCi,lteEnodeBId,lteCi,cellPortionId,locationEstimateShape,locationEstimateLat,locationEstimateLon,locationEstimateRadius,crmGender,crmAgeGroup,crmZipCode,presencePointId,groupPresencePointId
reportingNode80,1594320418438,1609329881736,1,240,10,D,240,10,3,,,,24010C572,77675,532,77675,,,,,,,,1,3,46954,,CRLF
reportingNode46,1605563851123,1613743522296,1,240,11,A,240,10,2,,1A64,240101A64,,,,,,,,,,,,1,6,57460,,CRLF
reportingNode54,1598677934309,1597487645166,1,240,12,D,240,10,3,,,,2401092EF,13994,349,13994,,,,,,,,2,6,45739,,CRLF
reportingNode97,1612002367283,1593606435913,1,240,10,D,240,10,2,,E8A6,24010E8A6,,,,,,,,,,,,2,6,83004,,CRLF
reportingNode60,1595170057348,1602086743087,1,244,11,D,240,10,3,,,,24010CAD9,43106,114,43106,,,,,,,,2,3,49346,,CRLF
reportingNode17,1601204589621,1597315486791,1,240,11,D,240,10,0,,,,,,,,,,,,,,,2,3,89458,,CRLF
reportingNode24,1597680195862,1613948936333,1,244,11,B,240,10,0,,,,,,,,,,,,,,,2,1,45946,,CRLF
reportingNode14,1602386820805,1598436636819,1,244,10,D,240,10,1,,,,,,,,,,,,,,,1,4,28579,,CRLF
reportingNode99,1609572347060,1606612873478,1,244,10,C,240,10,1,,,,,,,,,,,,,,,1,5,42110,,CRLF
reportingNode78,1599246431031,1597150160216,1,244,11,B,240,10,1,,,,,,,,,,,,,,,3,1,41022,,CRLF
reportingNode28,1607943665553,1598361160482,1,244,11,A,240,10,3,,,,24010AD59,25029,314,25029,,,,,,,,3,3,59433,,CRLF
reportingNode70,1610002933349,1593286856121,1,240,11,B,240,10,0,,,,,,,,,,,,,,,1,2,36685,,CRLF
reportingNode33,1601683175586,1610060057357,1,240,12,A,240,10,0,,,,,,,,,,,,,,,2,6,31033,,CRLF
reportingNode2,1599245923658,1611255096876,1,244,10,C,240,10,3,,,,24010D4CE,79907,551,79907,,,,,,,,1,2,34024,,CRLF
reportingNode91,1598434978832,1598534319774,1,240,12,A,240,10,2,,5519,240105519,,,,,,,,,,,,2,1,62968,,CRLF
reportingNode91,1593866334835,1598900101962,1,244,11,C,240,10,3,,,,240105145,77803,729,77803,,,,,,,,2,1,26630,,CRLF
reportingNode63,1601453121421,1611557810106,1,244,10,C,240,10,2,,A1C4,24010A1C4,,,,,,,,,,,,1,6,32159,,CRLF
reportingNode82,1595340073981,1593262356150,1,240,10,A,240,10,2,,D6D9,24010D6D9,,,,,,,,,,,,2,1,82161,,CRLF
reportingNode2,1614160031590,1597888444212,1,240,11,A,240,10,3,,,,240109097,74386,239,74386,,,,,,,,3,5,19760,,CRLF
reportingNode21,1602947406675,1606336488501,1,240,11,A,240,10,1,,,,,,,,,,,,,,,1,1,87684,,CRLF
reportingNode50,1613186086785,1599489388882,1,240,11,A,240,10,1,,,,,,,,,,,,,,,3,6,13712,,CRLF
reportingNode46,1609512091179,1598514612890,1,240,10,B,240,10,0,,,,,,,,,,,,,,,1,6,12651,,CRLF
reportingNode68,1604444173697,1595468103130,1,240,10,A,240,10,3,,,,240102A39,15740,638,15740,,,,,,,,3,4,75568,,CRLF
reportingNode79,1605531649837,1598482204503,1,244,11,C,240,10,0,,,,,,,,,,,,,,,2,5,24051,,CRLF
